Author_Handle,UTC_Time,Tweet_Content,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Replying_to,crypto,text_clean,sentiment_score,daily_sentiment_avg,price
DiscoverCrypto_,2023-01-01,2023: The year the $XRP case ends and the Ripple curse is broken. Also the year @GaryGensler is forced to resign from the @SECGov,264,443,3522,303296,4,False,xrp,year xrp case ends ripple curse broken also year forced resign,-0.9001,-0.45005,0.3390659137727583
CryptoKaleo,2023-01-01,"My conservative price targets for 2023: Bitcoin: $420,069 ETH: $69,420 XRP: $589 ZEC: 7 BTC FTT: $1,000 UST: $1.04 USDT: $0.13",1794,452,5669,1648694,120,False,xrp,conservative price targets bitcoin eth xrp zec btc ftt ust usdt,0.0,-0.45005,0.3390659137727583
thebearablebull,2023-01-02,Who’s Still Holding XRP Through All The Bullshit?? ✋,444,169,4151,268072,1,False,xrp,still holding xrp bullshit,-0.5859,-0.3760666666666667,0.3485704226652262
xrpmickle,2023-01-02,If Ripple was actually committing fraud the SEC probably wouldnt have gone after them. #xrp #ripple,100,192,1704,147911,3,False,xrp,ripple actually committing fraud sec probably wouldnt gone xrp ripple,-0.5423,-0.3760666666666667,0.3485704226652262
BCBacker,2023-01-02,I do believe that was the bottom of XRP. I'll discuss it in today's video.,159,240,2038,279767,12,False,xrp,believe bottom xrp discuss today video,0.0,-0.3760666666666667,0.3485704226652262
NovianXRP,2023-01-04,@RoyIsThaTruth Oh so this ain't rock paper scissors jail?,42,95,2318,132240,8,True,xrp,oh rock paper scissors jail,0.0,0.0,0.3481488850831711
linqtoinc,2023-01-04,"Ripple’s general counsel has confirmed that this is the last filing Ripple will make. Now, things are up to Judge Analisa Torres. Summary judgment for the case, according to former prosecutor James Filan, will take place “on or before March 31, 2023.” https://hubs.li/Q01wYj4d0",40,454,1444,134722,23,False,xrp,ripple general counsel confirmed last filing ripple make things judge analisa torres summary judgment case according former prosecutor james filan take place march,0.0,0.0,0.3481488850831711
RippleXrpie,2023-01-04,The Wall Street Prediction Is Still In Place! #XRP,175,358,1619,153531,37,False,xrp,wall street prediction still place xrp,0.0,0.0,0.3481488850831711
RippleArchive,2023-01-04,XRP WILL BE THE FIRST REGULATED CRYPTOCURRENCY IN THE US. #XRP,68,231,1639,263566,2,False,xrp,xrp first regulated cryptocurrency us xrp,0.0,0.0,0.3481488850831711
_Crypto_Barbie,2023-01-04,Harvard: Ripple ( #XRP ) and Stellar Lumens ( #XLM ) will be backbone of payment system of the future! https://www.crypto-news-flash.com/harvard-ripple-xrp-and-stellar-lumens-xlm-will-be-backbone-of-payment-system-of-the-future/,57,421,1695,157612,41,False,xrp,harvard ripple xrp stellar lumens xlm backbone payment system future,0.0,0.0,0.3481488850831711
BitMartExchange,2023-01-05,"🥳#BitMart will list Ripple (XRP) on our digital assets platform on January 5, 2023. The following trading pair will be available: XRP/USDT. 💎Deposit feature: 01/05/2023 7:00 AM (UTC) 💎Trade feature: 01/05/2023 8:00 AM (UTC) 👉Details: https://support.bitmart.com/hc/en-us/articles/11799669938843",159,618,2051,314160,12,False,xrp,bitmart list ripple xrp digital assets platform january following trading pair available xrp usdt deposit feature utc trade feature utc details,0.1779,0.1779,0.3384179800553606
FilanLaw,2023-01-09,#XRPCommunity #SECGov v. #Ripple #XRP The Ripple Defendants have filed their Response in Opposition to the SEC’s Motion to Seal certain documents filed in connection with the parties’ Cross-Motions for Summary Judgment. https://www.dropbox.com/s/ltyfremendci660/Ripple%20Response%20in%20Opposition%20to%20SEC%20Motion%20to%20Seal.pdf?dl=0,134,520,2108,651762,10,False,xrp,xrpcommunity secgov v ripple xrp ripple defendants filed response opposition sec motion seal certain documents filed connection parties cross motions summary judgment,0.5859,0.5037,0.3496853723382183
Ledger_Support,2023-01-09,📢Hey #XRP holders! We're ready for the @FlareNetworks $FLR token distribution later today😤 You'll be able to add a Flare account in LedgerLive at launch✨🚀 Want to learn more? Check our FAQ🤓 https://support.ledger.com/hc/en-us/articles/4402643414929-Flare-FLR-token-distribution-FAQ?support=true Any 🤔Comment 👇,171,415,1360,281840,109,False,xrp,hey xrp holders ready flr token distribution later today able add flare account ledgerlive launch want learn check faq comment,0.4215,0.5037,0.3496853723382183
thebearablebull,2023-01-10,I Buy Assets When Everyone Is Being A Pussie XRP HBAR XLM ETH QNT XDC These Will Change Lives 💪,160,169,1915,122224,31,False,xrp,buy assets everyone pussie xrp hbar xlm eth qnt xdc change lives,0.1779,0.1779,0.3516250959148819
stedas,2023-01-11,"SEC 🆚 Ripple ""If we lose our lawsuit with the SEC, we will leave the United States entirely."" - Brad Garlinghouse, CEO @Ripple #fintech $xrp 👉http://stedas.hr/ripple",130,273,1761,192414,4,False,xrp,sec ripple lose lawsuit sec leave united states entirely brad garlinghouse ceo fintech xrp,-0.25,-0.2841,0.3751680418453305
WhaleFUD,2023-01-11,All of crypto will see a bloodbath if Ripple #XRP loses to SEC.,558,413,3023,524673,16,False,xrp,crypto see bloodbath ripple xrp loses sec,-0.3182,-0.2841,0.3751680418453305
TheCryptoLark,2023-01-12,Just a reminder that we should all be rooting for #xrp to win their court case!,151,168,1448,181906,1,False,xrp,reminder rooting xrp win court case,0.5859,0.76095,0.3757077587246529
JoelKatz,2023-01-12,I feel bad saying this. I love the project and want the best for it and want to believe the best about it. But my honest opinion is that they leveraged the XRP community to grow and weakened their promises drastically when they felt they didn't need it anymore. 1/2,68,147,1088,223100,11,True,xrp,feel bad saying love project want best want believe best honest opinion leveraged xrp community grow weakened promises drastically felt need anymore,0.936,0.76095,0.3757077587246529
thebearablebull,2023-01-13,Ripple Has Been Sued By The SEC For 2+ Years AND THEY STILL HAVENT FOUND SHIT… Imagine The Dirt They’d Find With Any Other Crypto Company This Is Why I Still Hold XRP Strong 😤💪,88,253,2036,118459,6,False,xrp,ripple sued sec years still havent found shit imagine dirt find crypto company still hold xrp strong,0.5892,0.04959999999999998,0.3866854348676511
attorneyjeremy1,2023-01-13,"Former SEC Enforcement Chief Braganca is ""puzzled"" as to why the SEC knew about the Gemini lending program, but allowed it to continue for at least a year before telling it to stop. I wonder what she'd say about the 5-6 years the SEC allowed Ripple to sell XRP?",90,495,1834,217855,19,False,xrp,former sec enforcement chief braganca puzzled sec knew gemini lending program allowed continue least year telling stop wonder say years sec allowed ripple sell xrp,-0.4404,0.04959999999999998,0.3866854348676511
DiscoverCrypto_,2023-01-13,Things are changing for regulators. The House Financial Services Committee and it’s various subcommittees are about to go to town on the SEC and the IRS. See ya Gary. $xrp #crypto,126,219,1546,197253,4,False,xrp,things changing regulators house financial services committee various subcommittees go town sec irs see ya gary xrp crypto,0.0,0.04959999999999998,0.3866854348676511
sarkillxx60,2023-01-17,@OvOBrezzzy,9,130,3197,249801,53,True,xrp,,0.0,0.05135,0.3883460896972918
LBRYcom,2023-01-17,Our impression is the XRP Community holds resentment towards Ethereum because Ethereum gets to play by rules that no one else does.,77,175,1237,140928,3,False,xrp,impression xrp community holds resentment towards ethereum ethereum gets play rules one else,0.1027,0.05135,0.3883460896972918
ArjunKharpal,2023-01-18,"#Davos: Caught up with @ripple CEO @bgarlinghouse whos thinks SEC lawsuit will be resolved in the first half of this year. ""Optimistic this will certainly be resolved in 2023, in maybe the first half. I feel very good about where we are relative to the law and the facts."" $XRP",122,1347,3640,1178922,141,False,xrp,davos caught ceo whos thinks sec lawsuit resolved first half year optimistic certainly resolved maybe first half feel good relative law facts xrp,0.7964,0.011666666666666678,0.3797679869684619
attorneyjeremy1,2023-01-18,"Thanks for stopping by @bobbyxrp1! We belong to the small and lucky ""Married-to-Vietnamese-Women-Who-can-Cook-and-We-Own-XRP"" Club.",79,48,1597,95563,0,False,xrp,thanks stopping belong small lucky married vietnamese women cook xrp club,0.6249,0.011666666666666678,0.3797679869684619
FilanLaw,2023-01-18,"#XRPCommunity #SECGov v. #Ripple #XRP Ripple opposes the Motion by “Investment Banker Declarant” which seeks to shield from public view his name, position, and employer because he voluntarily submitted the declaration in support of the SEC’s Summary Judgment motion.",89,449,1910,201455,10,False,xrp,xrpcommunity secgov v ripple xrp ripple opposes motion investment banker declarant seeks shield public view name position employer voluntarily submitted declaration support sec summary judgment motion,0.4019,0.011666666666666678,0.3797679869684619
CGasparino,2023-01-18,"The more I delve into the @SBF_FTX implosion and hear how he met w @SECGov not once but twice, it's hard not to realize that the SEC really botched its regulatory agenda going after @Ripple over unregistered XRP when serious issues of potential fraud always resided w exchanges",424,512,2868,349831,13,False,xrp,delve implosion hear met w twice hard realize sec really botched regulatory agenda going unregistered xrp serious issues potential fraud always resided w exchanges,-0.6705,0.011666666666666678,0.3797679869684619
CNBC,2023-01-18,"Ripple CEO is optimistic the crypto firm will get ruling on XRP lawsuit soon, slams 'embarrassing' SEC https://cnb.cx/3CWxg4K",41,585,1802,267365,17,False,xrp,ripple ceo optimistic crypto firm get ruling xrp lawsuit soon slams embarrassing sec,-0.296,0.011666666666666678,0.3797679869684619
JohnEDeaton1,2023-01-18,The SEC will be denied summary judgment on whether @bgarlinghouse and @chrislarsensf were reckless in not knowing #XRP was a security. The fact that BG met 3X w/the SEC and never once did they say “XRP is a security” is evidence a reasonable jury could conclude he wasn’t reckless,28,325,1479,183031,11,False,xrp,sec denied summary judgment whether reckless knowing xrp security fact bg met x w sec never say xrp security evidence reasonable jury could conclude reckless,-0.7867,0.011666666666666678,0.3797679869684619
digitalassetbuy,2023-01-20,Congress Everything is now briefed in SEC vs. @ripple This is an unprecedented case where the SEC has literally actively harmed the XRP investors they claim to protect for over two years. Today is a great day to recap why TODAY MUST BE A NEW DAY in the USA.,64,847,2054,196811,83,False,xrp,congress everything briefed sec vs unprecedented case sec literally actively harmed xrp investors claim protect two years today great day recap today must new day usa,0.7096,0.3276,0.4135995980254182
FilanLaw,2023-01-20,"#XRPCommunity #SECGov v. #Ripple #XRP Scheduling Update as of January 19, 2023.",632,1630,6584,1440811,37,False,xrp,xrpcommunity secgov v ripple xrp scheduling update january,0.0,0.3276,0.4135995980254182
CryptoTaxFixer,2023-01-20,"Govt declares cryptocurrencies are NOT securities. In two opinion letters, IRS Chief Counsel office declares that cryptocurrencies are not securities. Obviously, IRS disagrees with #SEC #XRP. 🫢 IRS Ruling 202302011 &amp; 202302012",38,463,1556,176195,49,False,xrp,govt declares cryptocurrencies securities two opinion letters irs chief counsel office declares cryptocurrencies securities obviously irs disagrees sec xrp irs ruling amp,0.2732,0.3276,0.4135995980254182
gamdom,2023-01-21,"💸 $1,000 #Giveaway 💸 We'll select 10 winners randomly and award $100 to each account! 🤑🤑 Rules: 👇 1️⃣ Tag 2 friends 2️⃣ Must Like, Follow &amp; Retweet Good luck 💚 #BTC #Crypto #Contest #Casino #xrp #Competition #cryptocurrency #NFT #sol #LTC 🔗 http://Gamdom.com",6065,3871,3825,392627,12,False,xrp,giveaway select winners randomly award account rules tag friends must like follow amp retweet good luck btc crypto contest casino xrp competition cryptocurrency nft sol ltc,0.9524,0.4762,0.4042373402682552
WatcherGuru,2023-01-21,JUST IN: $XRP surpasses a $20 billion market cap.,194,596,3810,514668,10,False,xrp,xrp surpasses billion market cap,0.0,0.4762,0.4042373402682552
XRP_Productions,2023-01-22,"Holy shit, what does that mean?!?! #XRP #XRPtheStandard #BigBallsBrad #Parody",185,198,1577,274929,23,False,xrp,holy shit mean xrp xrpthestandard bigballsbrad parody,-0.5574,-0.5574,0.4023071714072539
Dogeh8er,2023-01-23,#XRPCommunity The Final Countdown ⏲️ @bgarlinghouse @JoelKatz @BCBacker #xrp #xrpl #odl #cryptocurrency #xrparmy #xrpthestandard,120,632,2010,350603,95,False,xrp,xrpcommunity final countdown xrp xrpl odl cryptocurrency xrparmy xrpthestandard,0.0,0.28595,0.4266693124379404
CryptoNagato,2023-01-23,My mom wants to invest some money into Crypto. Here’s the portfolio I’ll create for her: 25% $XRP 25% $QNT 25% $HBAR 25% $MNW She is not used to investing. She wants to sleep well at night. I think that this is the perfect balance between low risk &amp; speculation. Thoughts?,792,123,1374,278051,101,False,xrp,mom wants invest money crypto portfolio create xrp qnt hbar mnw used investing wants sleep well night think perfect balance low risk amp speculation thoughts,0.5719,0.28595,0.4266693124379404
DefendDark,2023-01-24,"When #XRP is over $30, I promise to have a party in Amsterdam. Can we fill Johan Cruyff Arena?",298,142,2460,336323,10,False,xrp,xrp promise party amsterdam fill johan cruyff arena,0.6124,0.6124,0.4087729415360422
FilanLaw,2023-01-25,"#XRPCommunity #SECGov v. #Ripple #XRP “Investment Banker Declarant” files a Response to Ripple’s opposition to the motion by “Investment Banker Declarant” to shield from public view his name, position, and employer.",133,359,1461,399145,14,False,xrp,xrpcommunity secgov v ripple xrp investment banker declarant files response ripple opposition motion investment banker declarant shield public view name position employer,0.0,0.0,0.4186592896798123
Kevin_Cage_,2023-01-26,"When $XRP breaks $1, the price predictions will go from $122k to $1M",253,79,1450,250791,4,False,xrp,xrp breaks price predictions go k,0.0,0.0,0.4111158852427795
WhaleFUD,2023-01-28,JUST IN: Ripple CEO expects a ruling in in #XRP lawsuit against SEC to come before June 30.,216,429,2131,293823,11,False,xrp,ripple ceo expects ruling xrp lawsuit sec come june,-0.2263,-0.2263,0.4096758453041082
UpholdInc,2023-01-30,🐂 Any $XRP bulls out there?,319,170,2103,118688,2,False,xrp,xrp bulls,0.0,0.0,0.3963337020923979
AltcoinDaily,2023-01-30,Imagine if $XRP hodlers are 100% right..,291,134,1426,397133,3,False,xrp,imagine xrp hodlers right,0.0,0.0,0.3963337020923979
TheCryptoLark,2023-01-30,"Someone offers you $100,000 of one of these coins #cardano, #xrp, or #dogecoin, which do you take and why? $doge $xrp $ada 👇 👇 👇",537,126,1798,345899,2,False,xrp,someone offers one coins cardano xrp dogecoin take doge xrp ada,0.0,0.0,0.3963337020923979
attorneyjeremy1,2023-02-01,Below is the LBC weekly chart (up 100%) and LBRY completely lost the SEC lawsuit and is going into bankruptcy. What does this mean vis a vis XRP? Asking for a friend. :),107,239,1557,239131,6,False,xrp,lbc weekly chart lbry completely lost sec lawsuit going bankruptcy mean vis vis xrp asking friend,-0.1423,0.27003333333333335,0.4148527743836202
LBRYcom,2023-02-01,"Coinbase should relist $XRP. Under the SEC vs LBRY standard, $XRP sold by secondary holders is not a security.",330,2281,7858,529234,27,False,xrp,coinbase relist xrp sec vs lbry standard xrp sold secondary holders security,0.34,0.27003333333333335,0.4148527743836202
WillyWonkaXRP,2023-02-01,BREAKING: Coinbase Wins Dismissal of Lawsuit Over Unregistered Securities (COIN) - Bloomberg NOW LIST $XRP!! 📈 https://www.bloomberg.com/news/articles/2023-02-01/coinbase-wins-dismissal-of-lawsuit-over-unregistered-securities,75,591,2174,189914,16,False,xrp,breaking coinbase wins dismissal lawsuit unregistered securities coin bloomberg list xrp,0.6124,0.27003333333333335,0.4148527743836202
XRP_Productions,2023-02-02,"WOW, even the SEC is busting @coinbase's balls about relisting #XRP! 😮 #RelistXRP #JeezLouise #Parody",142,283,1432,165702,7,False,xrp,wow even sec busting balls relisting xrp relistxrp jeezlouise parody,0.5859,0.3086333333333333,0.4112098873232879
dangambardello,2023-02-02,A lot of people have left crypto. Are you still here? $btc $ada $xrp,287,61,2143,113084,0,False,xrp,lot people left crypto still btc ada xrp,0.0,0.3086333333333333,0.4112098873232879
MasonVersluis,2023-02-02,Now that we are private I can tell you my real $XRP price prediction 🔒 $25+ easily.,122,83,1623,110019,4,False,xrp,private tell real xrp price prediction easily,0.34,0.3086333333333333,0.4112098873232879
IOV_OWL,2023-02-04,"Imagine taking shots at Crypto Eri saying she needs clout, attention, clicks, or that she hasn’t put in the work. Eri is one of the realest researchers in crypto and a top steward for this community. Tired of this shit. Want $XRP to grow in Value? Build something with it",115,119,1296,108723,3,False,xrp,imagine taking shots crypto eri saying needs clout attention clicks put work eri one realest researchers crypto top steward community tired shit want xrp grow value build something,-0.4588,-0.028450000000000003,0.4121338298176891
JoelKatz,2023-02-04,I'm taking XRP private at $420. Funding secured. ᵀʰⁱˢ ⁱˢ ᵃ ʲᵒᵏᵉ,825,890,5739,1289460,101,False,xrp,taking xrp private funding secured,0.4019,-0.028450000000000003,0.4121338298176891
jeff_xrp,2023-02-06,Just a friendly reminder that XRP is the ONLY crypto to ever eclipse Bitcoin. 30 Dec 2017. Know what you hold. #XRP,101,376,1356,178261,60,False,xrp,friendly reminder xrp crypto ever eclipse bitcoin dec know hold xrp,0.4939,0.41695000000000004,0.3937656294467119
FilanLaw,2023-02-06,"#XRPCommunity #XRP @JohnEDeaton1 will be filing a Motion to File an Amicus Brief in Zakinov v. Ripple in California. There, the plaintiffs claim that Ripple sold XRP as an unregistered security. They are asking the court to certify a class of ALL XRP Holders who purchased 1/5",115,387,1729,425640,16,False,xrp,xrpcommunity xrp filing motion file amicus brief zakinov v ripple california plaintiffs claim ripple sold xrp unregistered security asking court certify class xrp holders purchased,0.34,0.41695000000000004,0.3937656294467119
digitalassetbuy,2023-02-08,Now that the SEC / ETH vs. @ripple / XRP suit is coming to an end I think it's important to remind Congress and everyone else why an American company and XRP holders the SEC is supposed to protect have been harmed continuously for over two years. New day coming any time soon????,76,459,1835,232461,33,False,xrp,sec eth vs xrp suit coming end think important remind congress everyone else american company xrp holders sec supposed protect harmed continuously two years new day coming time soon,0.0772,-0.31155,0.3986931996846012
BCBacker,2023-02-08,"I’ve been sick all day. I recorded a 27-minute XRP video. But after editing it, and listening to myself, I can just hear a guy who is exhausted. Not myself. Will try again tomorrow. Going to rest. 👍🏻",139,19,1636,85085,1,False,xrp,sick day recorded minute xrp video editing listening hear guy exhausted try tomorrow going rest,-0.7003,-0.31155,0.3986931996846012
